,ISBN,Title,Author,Publishing Date,Category,Description
0,0439785960,,,,,
1,0439358078,,,,,
2,0439554896,Harry Potter and the Chamber of Secrets,J. K. Rowling,2003,Juvenile Fiction,"When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school."
3,043965548X,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2004,Juvenile Fiction,"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths."
4,0439682584,Harry Potter,J. K. Rowling,2004,,
5,0976540606,Unauthorized Harry Potter and the Deathly Hallows News,W. Frederick Zimmerman,2005-04,Fiction,"Through the magic of print-on-demand technology, this ""nimble"" guide to the work of best-selling author J. K. Rowling provides the latest news about the author and her works, updated whenever there are significant developments. Unlike a conventional book, for which editions are printed in quantity every couple of years, this ""living book"" goes through frequent ""mini-editions"" and is printed fresh whenever customers place an order. Purchasers are entitled to free PDF updates! An entirely new section of analysis with more than 75 new pages will be added shortly after the release of ""Harry Potter and the Half-Blood Prince"" on July 16, 2005."
6,0439827604,The Harry Potter Collection,J. K. Rowling,2005-10-01,Juvenile Fiction,"The first six years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, The Order of the Phoenix, and The Half-Blood Prince."
7,0517226952,The Ultimate Hitchhiker's Guide,Douglas Adams,2005,"Dent, Arthur (Fictitious character)",6 Science fiction-romaner.
8,0345453743,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,2002-04-30,Fiction,"In one complete volume, here are the five classic novels from Douglas Adams’s beloved Hitchhiker series. Now celebrating the pivotal 42nd anniversary of The Hitchhiker’s Guide to the Galaxy, soon to be a Hulu original series! The Hitchhiker’s Guide to the Galaxy (Nominated as one of America’s best-loved novels by PBS’s The Great American Read) Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space. The Restaurant at the End of the Universe The moment before annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat. Life, the Universe and Everything The unhappy inhabitants of planet Krikkit are sick of looking at the night sky– so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew. So Long, and Thanks for All the Fish Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription thrusts him back to reality. So to speak. Mostly Harmless Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself? Includes the bonus story “Young Zaphod Plays It Safe” “With droll wit, a keen eye for detail and heavy doses of insight . . . Adams makes us laugh until we cry.”—San Diego Union-Tribune “Lively, sharply satirical, brilliantly written . . . ranks with the best set pieces in Mark Twain.”—The Atlantic"
9,1400052920,The Hitchhiker's Guide to the Galaxy 25th Anniversary Edition,Douglas Adams,2004-08-03,Fiction,"NEW YORK TIMES BESTSELLER • “Extremely funny . . . inspired lunacy . . . [and] over much too soon.”—The Washington Post Book World SOON TO BE A HULU SERIES • Now celebrating the pivotal 42nd anniversary of the original radio show on which the book was based. Nominated as one of America’s best-loved novels by PBS’s The Great American Read Seconds before Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker’s Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor. Together, this dynamic pair began a journey through space aided by a galaxyful of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian (formerly Tricia McMillan), Zaphod’s girlfriend, whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; and Veet Voojagig, a former graduate student obsessed with the disappearance of all the ballpoint pens he’s bought over the years. Where are these pens? Why are we born? Why do we die? For all the answers, stick your thumb to the stars! Praise for The Hitchhiker’s Guide to the Galaxy “A whimsical oddyssey . . . Characters frolic through the galaxy with infectious joy.”—Publishers Weekly “Irresistable!”—The Boston Globe"
10,0739322206,,,,,
11,0517149257,The Ultimate Hitchhiker's Guide,Douglas Adams,1996,"Dent, Arthur (Fictitious character)",6 Science fiction-romaner.
12,076790818X,A Short History of Nearly Everything,Bill Bryson,2004-09-14,History,"One of the world’s most beloved writers and New York Times bestselling author of A Walk in the Woods and The Body takes his ultimate journey—into the most intriguing and intractable questions that science seeks to answer. In A Walk in the Woods, Bill Bryson trekked the Appalachian Trail—well, most of it. In A Sunburned Country, he confronted some of the most lethal wildlife Australia has to offer. Now, in his biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. A Short History of Nearly Everything is the record of this quest, and it is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Science has never been more involving or entertaining."
13,0767915062,Bill Bryson's African Diary,Bill Bryson,2002-12-03,Travel,"From the author of A Short History of Nearly Everything and The Body comes a travel diary documenting a visit to Kenya. All royalties and profits go to CARE International. In the early fall of 2002, famed travel writer Bill Bryson journeyed to Kenya at the invitation of CARE International, the charity dedicated to working with local communities to eradicate poverty around the world. He arrived with a set of mental images of Africa gleaned from television broadcasts of low-budget Jungle Jim movies in his Iowa childhood and a single viewing of the film version of Out of Africa. (Also with some worries about tropical diseases, insects, and large predators.) But the vibrant reality of Kenya and its people took over the second he deplaned in Nairobi, and this diary records Bill Bryson’s impressions of his trip with his inimitable trademark style of wry observation and curious insight. From the wrenching poverty of the Kibera slum in Nairobi to the meticulously manicured grounds of the Karen Blixen house and the human fossil riches of the National Museum, Bryson registers the striking contrasts of a postcolonial society in transition. He visits the astoundingly vast Great Rift Valley; undergoes the rigors of a teeth-rattling train journey to Mombasa and a hair-whitening flight through a vicious storm; and visits the refugee camps and the agricultural and economic projects where dedicated CARE professionals wage noble and dogged war against poverty, dislocation, and corruption. Though brief in compass and duration, Bill Bryson’s African Diary is rich in irreverent, poignant, and morally instructive observation. Like all of this author’s work, it can make the reader laugh, think, and especially, feel all at the same time."
14,0767910435,Bryson's Dictionary of Troublesome Words,Bill Bryson,2004-09-14,Language Arts & Disciplines,"One of the English language’s most skilled and beloved writers guides us all toward precise, mistake-free grammar. As usual Bill Bryson says it best: “English is a dazzlingly idiosyncratic tongue, full of quirks and irregularities that often seem willfully at odds with logic and common sense. This is a language where ‘cleave’ can mean to cut in half or to hold two halves together; where the simple word ‘set’ has 126 different meanings as a verb, 58 as a noun, and 10 as a participial adjective; where if you can run fast you are moving swiftly, but if you are stuck fast you are not moving at all; [and] where ‘colonel,’ ‘freight,’ ‘once,’ and ‘ache’ are strikingly at odds with their spellings.” As a copy editor for the London Times in the early 1980s, Bill Bryson felt keenly the lack of an easy-to-consult, authoritative guide to avoiding the traps and snares in English, and so he brashly suggested to a publisher that he should write one. Surprisingly, the proposition was accepted, and for “a sum of money carefully gauged not to cause embarrassment or feelings of overworth,” he proceeded to write that book—his first, inaugurating his stellar career. Now, a decade and a half later, revised, updated, and thoroughly (but not overly) Americanized, it has become Bryson’s Dictionary of Troublesome Words, more than ever an essential guide to the wonderfully disordered thing that is the English language. With some one thousand entries, from “a, an” to “zoom,” that feature real-world examples of questionable usage from an international array of publications, and with a helpful glossary and guide to pronunciation, this precise, prescriptive, and—because it is written by Bill Bryson—often witty book belongs on the desk of every person who cares enough about the language not to maul or misuse or distort it."
