bookID;title;authors;average_rating;isbn;isbn13;language_code;num_pages;ratings_count;text_reviews_count;Colonne1;publication_date;publisher
1;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling/Mary GrandPré;4,57;0439785960;9,78044E+12;eng;652;2095690;27591;2068099;9/16/2006;Scholastic Inc.
1;Harry Potter and the Order of the Phoenix (Harry Potter  #5);J.K. Rowling/Mary GrandPré;4,49;0439358078;9,78044E+12;eng;870;2153167;29221;2123946;9/1/2004;Scholastic Inc.
1;Harry Potter and the Chamber of Secrets (Harry Potter  #2);J.K. Rowling;4,42;0439554896;9,78044E+12;eng;352;6333;244;6089;11/1/2003;Scholastic
1;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3);J.K. Rowling/Mary GrandPré;4,56;043965548X;9,78044E+12;eng;435;2339585;36325;2303260;5/1/2004;Scholastic Inc.
1;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5);J.K. Rowling/Mary GrandPré;4,78;0439682584;9,78044E+12;eng;2690;41428;164;41264;9/13/2004;Scholastic
1;"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation";W. Frederick Zimmerman;3,74;0976540606;9,78098E+12;en-US;152;19;1;18;4/26/2005;Nimble Books
1;Harry Potter Collection (Harry Potter  #1-6);J.K. Rowling;4,73;0439827604;9,78044E+12;eng;3342;28242;808;27434;9/12/2005;Scholastic
1;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4,38;0517226952;9,78052E+12;eng;815;3628;254;3374;11/1/2005;Gramercy Books
1;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4,38;0345453743;9,78035E+12;eng;815;249558;4080;245478;4/30/2002;Del Rey Books
1;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;4,22;1400052920;9,7814E+12;eng;215;4930;460;4470;8/3/2004;Crown
1;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams/Stephen Fry;4,22;0739322206;9,78074E+12;eng;6;1266;253;1013;3/23/2005;Random House Audio
1;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4,38;0517149257;9,78052E+12;eng;815;2877;195;2682;1/17/1996;Wings Books
1;A Short History of Nearly Everything;Bill Bryson;4,21;076790818X;9,78077E+12;eng;544;248558;9396;239162;9/14/2004;Broadway Books
1;Bill Bryson's African Diary;Bill Bryson;3,44;0767915062;9,78077E+12;eng;55;7270;499;6771;12/3/2002;Broadway Books
1;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;Bill Bryson;3,87;0767910435;9,78077E+12;eng;256;2088;131;1957;9/14/2004;Broadway Books
1;In a Sunburned Country;Bill Bryson;4,07;0767903862;9,78077E+12;eng;335;72451;4245;68206;5/15/2001;Broadway Books
1;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;Bill Bryson;3,9;076790382X;9,78077E+12;eng;304;49240;2211;47029;6/28/2000;Broadway Books
1;The Lost Continent: Travels in Small Town America;Bill Bryson;3,83;0060920084;9,78006E+12;eng;299;45712;2257;43455;8/28/1990;William Morrow Paperbacks
1;Neither Here nor There: Travels in Europe;Bill Bryson;3,86;0380713802;9,78038E+12;eng;254;48701;2238;46463;3/28/1993;William Morrow Paperbacks
1;Notes from a Small Island;Bill Bryson;3,91;0380727501;9,78038E+12;eng;324;80609;3301;77308;5/28/1997;William Morrow Paperbacks
1;The Mother Tongue: English and How It Got That Way;Bill Bryson;3,93;0380715430;9,78038E+12;eng;270;28489;2085;26404;9/28/1991;William Morrow Paperbacks
1;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;4,59;0345538374;9,78035E+12;eng;1728;101233;1550;99683;9/25/2012;Ballantine Books
1;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien;4,5;0618517650;9,78062E+12;eng;1184;1710;91;1619;10/21/2004;Houghton Mifflin Harcourt
1;The Fellowship of the Ring (The Lord of the Rings  #1);J.R.R. Tolkien;4,36;0618346252;9,78062E+12;eng;398;2128944;13670;2115274;9/5/2003;Houghton Mifflin Harcourt
1;The Lord of the Rings (The Lord of the Rings  #1-3);J.R.R. Tolkien/Alan  Lee;4,5;0618260587;9,78062E+12;en-US;1216;1618;140;1478;10/1/2002;Houghton Mifflin Harcourt
