,bookid,title,authors,average_rating,isbn,isbn13,language_code,publication_date,publisher,title2,author2,genre,multiple_authors,n_authors,authors_list,main_author,max_pages,total_reviews,avg_numpages_author,n_pages_vs_avg_auth,avg_numpages_publisher,n_pages_vs_avg_pub,rating_vs_avg_auth,avg_rating_publisher,rating_vs_avg_pub,rating_vs_mode,pub_month,pub_year,pub_month_text,season,season_num,language_code_ENgroup,ratings_count_category,ratings_count_category_T,text_reviews_count_category,text_reviews_count_category_T,log_total_reviews,total_reviews_category,total_reviews_category_T,language_code_T,language_code_ENgroup_T,num_pages_cat,max_pages_cat,num_pages_cat_T,max_pages_cat_T,average_rating_cat,average_rating_cat_T
1847,9397,0,5271,148,6271,6288,3,2490,1229,5620,3671,10,0,0,5277,3577,221,2521,210,100,199,95,27,103,42,148,11,68,11,0,3,1,3,3,2,2,1939,3,3,22,0,1,1,1,1,1,3
4072,1384,1,4143,75,9211,9214,4,2429,345,9,2857,1,0,0,4162,2773,596,2804,1144,100,913,100,27,59,35,75,7,68,8,1,1,1,1,1,4,0,34,1,1,13,0,0,0,3,3,2,2
1574,9142,2,5478,128,7968,7977,4,182,544,5637,3812,2,0,0,5507,3712,872,4929,1027,178,724,207,28,90,41,128,1,40,10,0,3,1,0,4,2,2,4848,0,4,13,0,0,0,3,3,1,3
3137,420,3,4515,111,6525,6541,4,2437,2126,15,3103,12,0,0,4532,3006,970,2979,1441,100,918,186,27,105,33,111,7,68,8,1,1,1,0,4,2,2,4401,0,4,13,0,0,0,3,3,1,3
2343,9904,4,1334,116,3587,3607,4,2699,706,17,929,20,0,0,1383,924,371,2975,629,99,694,83,26,91,37,116,10,69,1,2,2,1,3,3,2,2,2161,3,3,13,0,2,2,2,2,1,3
10329,8039,5,2407,117,2975,2994,4,454,151,19,1607,8,1,25,2446,1555,454,1852,941,95,758,94,23,88,38,117,10,50,1,2,2,1,2,2,1,1,223,2,2,13,0,2,2,2,2,1,3
3077,365,6,4482,165,1823,1844,4,473,1972,20,3077,10,1,11,4499,2977,270,619,158,138,227,110,29,127,40,165,0,51,4,3,0,1,0,4,2,2,3563,0,4,13,0,2,2,2,2,1,3
145,5692,7,4774,187,7891,7900,4,1270,247,21,3293,23,0,0,4785,3201,313,5082,457,100,615,75,27,153,39,187,2,61,9,0,3,1,1,1,4,0,92,1,1,13,0,2,2,2,2,4,4
223,9219,8,4125,111,10044,10045,15,2886,1838,22,2843,10,1,20,4144,2756,647,2663,1200,100,858,121,27,82,38,111,7,70,8,1,1,12,2,2,1,1,318,2,2,16,10,0,0,3,3,1,3
6849,4301,9,3916,149,8941,8944,4,2698,1043,23,3506,19,1,20,3936,2595,477,5047,936,100,393,149,27,113,40,149,10,69,1,2,2,1,1,1,1,1,91,1,1,13,0,0,0,3,3,1,3
8369,5919,10,4459,72,4446,4467,4,580,551,24,3064,16,0,0,4477,2966,370,426,622,100,203,16,27,95,25,72,6,53,0,1,1,1,1,1,4,0,12,1,1,13,0,4,4,0,0,2,2
2507,10076,11,1939,126,3038,3057,3,178,80,25,1339,23,1,11,1981,1311,631,1759,1185,100,637,153,27,88,41,126,7,40,8,1,1,1,2,2,1,1,215,2,2,22,0,0,0,3,3,1,3
3463,756,12,4378,99,9006,9009,20,2278,1724,27,3021,2,0,0,4408,2931,146,1097,295,67,79,100,22,71,38,99,11,67,11,0,3,17,1,1,4,0,16,1,1,14,14,1,1,1,1,1,3
4735,2095,13,4006,90,211,235,4,3465,842,28,2748,23,0,0,4025,2663,373,4600,529,110,601,91,30,87,32,90,3,75,2,3,0,1,0,4,0,3,4795,0,4,13,0,2,2,2,2,1,3
8953,6519,14,519,8,7075,7089,4,620,989,6402,328,22,0,0,570,323,305,5013,439,100,530,80,27,70,8,8,4,54,3,3,0,1,5,0,4,0,9,5,0,13,0,4,2,0,2,2,2
1377,8952,15,1905,86,210,234,4,2565,830,29,1321,23,0,0,1947,1294,724,544,1283,100,999,100,27,58,38,86,0,69,4,3,0,1,0,4,2,2,3526,0,4,13,0,0,0,3,3,1,3
9752,7419,16,822,128,8045,8054,4,3208,2019,30,561,23,0,0,872,549,610,4064,1161,100,609,152,27,88,41,128,1,71,10,0,3,1,0,4,0,3,4672,0,4,13,0,0,0,3,3,1,3
9722,7386,17,2634,135,5071,5091,4,2951,625,31,1733,23,0,0,2674,1680,491,3181,835,113,662,114,27,90,42,135,11,70,11,0,3,1,1,1,1,1,40,1,1,13,0,0,0,3,3,1,3
4717,2076,18,1640,130,8359,8367,4,3134,168,32,1157,23,0,0,1689,1144,670,5029,1207,103,838,130,31,87,42,130,8,71,6,2,2,1,3,3,2,2,3161,3,3,13,0,0,0,3,3,1,3
9118,6701,19,1641,102,8339,8347,4,3197,167,33,1157,23,1,11,1687,1144,482,739,1207,72,921,78,23,94,33,102,11,71,11,0,3,1,3,3,1,1,1157,3,3,13,0,0,0,3,3,1,3
327,169,20,4612,148,1118,1141,4,204,1401,34,3719,10,1,11,4626,3077,444,1284,848,100,628,106,27,90,46,148,2,41,9,0,3,1,4,5,0,3,5052,4,5,13,0,1,2,1,2,1,3
6352,3784,21,1467,128,3849,3869,4,88,496,35,1017,28,1,20,1513,1011,333,3431,1168,53,822,64,21,81,43,128,6,30,0,1,1,1,2,2,1,1,438,2,2,13,0,2,2,2,2,1,3
9265,6870,22,3546,37,1663,1686,4,838,299,36,2942,23,1,11,3571,2343,146,954,96,100,79,100,27,17,38,37,5,57,7,1,1,1,1,1,4,0,15,1,1,13,0,1,1,1,1,2,2
4821,2180,23,96,167,7193,7207,4,2656,725,2099,55,2,1,11,151,53,196,1233,227,88,134,100,30,139,38,167,7,69,8,1,1,1,1,1,4,0,17,1,1,13,0,1,1,1,1,1,3
1983,9541,24,2943,126,5192,5212,3,1815,1144,37,1972,23,1,11,2979,1918,461,1952,1269,63,701,103,27,91,40,126,7,65,8,1,1,1,3,3,2,2,1673,3,3,22,0,2,2,2,2,1,3
983,6216,25,3850,104,2502,2521,4,2807,1572,38,2645,23,0,0,3873,2562,546,1922,572,158,747,116,26,90,34,104,0,70,4,3,0,1,3,3,2,2,1660,3,3,13,0,0,0,3,3,1,3
10638,8374,26,1698,176,9635,9635,4,1879,1106,39,1197,28,1,11,1745,1181,285,2539,384,100,298,100,27,148,38,176,11,65,11,0,3,1,5,0,4,0,3,5,0,13,0,2,2,2,2,1,3
1586,9152,27,1972,144,4268,4289,4,316,1728,40,1354,23,1,11,2013,1326,349,1519,913,74,575,87,28,84,46,144,9,46,5,2,2,1,3,3,2,2,1478,3,3,13,0,2,2,2,2,1,3
8735,6281,28,2608,134,5180,5200,4,2151,1931,2468,1727,20,0,0,2660,1672,535,2373,776,130,296,192,32,94,41,134,4,67,3,3,0,1,1,1,4,0,28,1,1,13,0,0,0,3,3,1,3
3629,905,29,2608,134,4091,4111,4,2890,747,42,1727,20,0,0,2660,1672,486,2339,776,117,690,110,32,90,42,134,7,70,8,1,1,1,4,5,0,3,5133,4,5,13,0,0,0,3,3,1,3
7688,5208,30,5121,102,6406,6422,4,1543,1513,44,2891,9,1,20,5128,3456,713,4219,1277,100,982,10,27,86,35,102,1,63,10,0,3,1,2,2,1,1,604,2,2,13,0,1,1,1,1,1,3
8853,6407,31,1264,135,7847,7857,4,2973,1031,45,879,1,0,0,1312,871,108,3674,64,100,51,100,27,107,38,135,1,70,10,0,3,1,5,0,4,0,5,5,0,13,0,1,1,1,1,1,3
10938,8697,32,2388,53,8943,8946,4,3068,974,3415,1597,3,0,0,2428,1546,738,426,1291,101,1006,101,22,42,33,53,5,71,7,1,1,1,1,1,4,0,12,1,1,13,0,0,0,3,3,2,2
560,2376,33,1089,68,9034,9037,3,3105,1836,46,758,23,0,0,1138,742,469,1143,808,110,629,112,18,60,32,68,7,71,8,1,1,1,3,3,2,2,1323,3,3,22,0,0,0,3,3,2,2
7903,5434,34,5225,89,4836,4857,4,1299,176,48,3639,26,0,0,5232,3544,232,2220,754,56,194,100,24,61,38,89,4,62,3,3,0,1,3,3,1,1,1795,3,3,13,0,1,1,1,1,1,3
701,3450,35,3049,93,1872,1893,4,2906,457,49,2058,2,1,11,3085,1993,399,3098,712,100,778,81,27,95,30,93,8,70,6,2,2,1,2,2,1,1,378,2,2,13,0,2,2,2,2,1,3
5492,2836,36,2929,137,6801,6816,4,2900,841,50,1960,25,1,11,2966,1908,241,1383,367,87,270,90,25,114,37,137,8,70,6,2,2,1,3,3,2,2,1417,3,3,13,0,2,2,2,2,1,3
3628,904,37,2609,130,4092,4112,4,2890,747,51,1727,0,1,11,2649,1672,461,4776,776,111,690,104,31,90,41,130,7,70,8,1,1,1,0,4,0,3,4825,0,4,13,0,2,2,2,2,1,3
5734,3136,38,2613,130,9311,9314,4,3064,1082,52,1727,0,1,25,2652,1672,567,2673,776,1,782,1,31,120,34,130,4,71,3,3,0,1,1,1,4,0,32,1,1,13,0,4,4,0,0,1,3
5733,3135,39,2610,128,9072,9075,4,2603,778,54,1727,0,1,20,2648,1672,770,4889,776,2,86,5,30,105,37,128,5,69,7,1,1,1,1,1,1,1,85,1,1,13,0,4,4,0,0,1,3
3644,920,40,2609,128,4093,4113,4,2890,747,54,1727,0,1,11,2649,1672,408,2382,776,97,690,91,30,90,41,128,7,70,8,1,1,1,2,2,1,1,281,2,2,13,0,2,2,2,2,1,3
8156,5705,41,44,120,4906,4927,4,1638,1561,55,28,5,0,0,107,29,346,2994,496,1,172,2,27,101,36,120,7,64,8,1,1,1,1,1,4,0,37,1,1,13,0,4,4,0,0,1,3
8731,6276,42,2612,133,4025,4045,4,3125,2038,56,1727,20,1,11,2651,1672,511,4265,776,124,796,103,31,84,44,133,8,71,6,2,2,1,0,4,0,3,4715,0,4,13,0,0,0,3,3,1,3
8217,5769,43,731,141,9715,9716,4,3026,1035,57,488,10,0,0,781,477,261,2006,313,100,327,88,27,115,38,141,3,70,2,3,0,1,2,2,1,1,238,2,2,13,0,2,2,2,2,1,3
10913,8668,44,5522,142,8162,8171,20,2490,762,58,3826,22,0,0,5527,3726,473,4450,728,118,746,100,28,114,38,142,11,68,11,0,3,17,5,0,4,0,7,5,0,14,14,0,0,3,3,1,3
8711,6256,45,4891,74,6633,6649,3,2467,686,59,3385,14,0,0,4905,3291,371,3503,738,91,748,77,15,60,34,74,9,68,5,2,2,1,2,2,1,1,455,2,2,22,0,2,2,2,2,2,2
3243,528,46,534,107,8059,8068,4,3149,80,60,346,28,0,0,585,338,389,1514,684,100,637,92,27,88,36,107,9,71,5,2,2,1,3,3,2,2,1475,3,3,13,0,2,2,2,2,1,3
9606,7261,47,4388,99,9002,9005,4,2119,1709,62,3021,23,1,4,4405,2931,138,2706,295,65,202,69,22,91,33,99,3,66,2,3,0,1,3,3,2,2,2030,3,3,13,0,1,1,1,1,1,3
1519,9087,48,1480,102,5776,5792,4,1506,1691,68,1021,2,1,11,1526,1014,443,4080,1229,65,620,107,20,83,36,102,9,63,5,2,2,1,2,2,1,1,574,2,2,13,0,2,2,2,2,1,3
3891,1186,49,5634,139,5069,5089,4,2154,624,829,3923,2,0,0,5636,3816,525,346,1012,102,533,139,27,91,43,139,4,67,3,3,0,1,4,5,0,3,4949,4,5,13,0,0,0,3,3,1,3
1676,9237,50,5896,103,2334,2353,4,2206,1458,69,4096,28,0,0,5896,3987,377,768,462,120,666,87,37,88,35,103,7,67,8,1,1,1,0,4,2,2,3631,0,4,13,0,2,2,2,2,1,3
1018,6503,51,4335,129,4089,4109,4,2856,747,70,2996,28,0,0,4358,2905,396,594,569,113,690,88,28,90,41,129,6,70,0,1,1,1,4,5,0,3,4976,4,5,13,0,2,2,2,2,1,3
6620,4052,52,5175,150,768,792,4,2223,824,935,3596,25,1,11,5181,3501,370,1956,56,25,583,9,30,83,48,150,8,67,6,2,2,1,3,3,1,1,1676,3,3,13,0,4,4,0,0,1,3
9662,7327,53,3693,150,357,381,4,3140,151,71,2528,8,0,0,3717,2448,419,1367,775,100,758,87,32,88,47,150,8,71,6,2,2,1,0,4,2,2,3866,0,4,13,0,2,2,2,2,1,3
3240,524,54,5023,109,7771,7781,4,3050,1883,72,3479,21,0,0,5032,3387,378,0,645,100,520,100,27,81,38,109,4,71,3,3,0,1,5,0,4,0,0,5,0,13,0,2,2,2,2,1,3
184,8114,55,2858,106,5648,5664,4,1098,2028,73,1913,25,0,0,2899,1853,315,2687,672,82,639,74,22,80,37,106,6,60,0,1,1,1,3,3,2,2,2019,3,3,13,0,2,2,2,2,1,3
7328,4813,56,4341,93,2830,2849,4,2609,2019,74,2997,28,0,0,4360,2907,221,1445,302,87,609,54,33,88,32,93,5,69,7,1,1,1,3,3,2,2,1448,3,3,13,0,1,1,1,1,1,3
5130,2477,57,275,105,1441,1464,4,2458,918,75,188,23,0,0,328,187,371,3857,587,104,85,218,27,92,34,105,9,68,5,2,2,1,3,3,2,2,2611,3,3,13,0,2,2,2,2,1,3
5131,2478,58,275,105,6810,6825,4,1004,1931,75,188,23,0,0,328,187,343,3339,587,96,296,121,27,94,34,105,6,59,0,1,1,1,1,1,1,1,43,1,1,13,0,2,2,2,2,1,3
2960,246,59,1319,170,3116,3135,4,3178,502,76,920,8,0,0,1368,912,966,219,1378,121,842,215,33,96,50,170,10,71,1,2,2,1,4,5,0,3,4924,4,5,13,0,0,0,3,3,1,3
1160,7355,60,5460,143,4862,4883,4,1525,177,77,3807,23,0,0,5469,3705,247,2090,575,70,574,62,28,85,46,143,11,63,11,0,3,1,4,5,0,3,5117,4,5,13,0,2,2,2,2,1,3
646,3026,61,5464,148,5015,5035,4,2970,174,78,3807,9,1,11,5467,3705,199,2114,575,58,641,48,29,86,47,148,11,70,11,0,3,1,0,4,2,2,4129,0,4,13,0,1,1,1,1,1,3
3398,686,62,3523,133,5754,5770,4,1393,1691,79,2419,2,1,11,3548,2324,442,3852,1118,75,620,106,28,83,44,133,1,62,10,0,3,1,2,2,1,1,526,2,2,13,0,2,2,2,2,1,3
7850,5382,63,3468,132,2567,2586,3,2845,171,80,2368,8,0,0,3497,2288,403,2719,960,82,719,88,29,85,43,132,5,70,7,1,1,1,0,4,2,2,4324,0,4,22,0,2,2,2,2,1,3
